home,away,result,year
guarani,vasco,0.0,2003
atléticopr,grêmio,0.0,2003
flamengo,coritiba,2.0,2003
goiás,paysandu,2.0,2003
internacional,pontepreta,2.0,2003
criciúma,fluminense,0.0,2003
juventude,sãopaulo,2.0,2003
fortaleza,bahia,2.0,2003
cruzeiro,sãocaetano,2.0,2003
vitória,figueirense,2.0,2003
santos,paraná,2.0,2003
corinthians,atléticomg,1.0,2003
fluminense,fortaleza,2.0,2003
atléticomg,santos,2.0,2003
coritiba,internacional,1.0,2003
grêmio,guarani,0.0,2003
figueirense,corinthians,2.0,2003
paysandu,vitória,1.0,2003
pontepreta,juventude,0.0,2003
paraná,atléticopr,0.0,2003
sãocaetano,criciúma,0.0,2003
sãopaulo,cruzeiro,1.0,2003
vasco,goiás,0.0,2003
internacional,bahia,0.0,2003
santos,figueirense,0.0,2003
atléticopr,atléticomg,1.0,2003
corinthians,paysandu,0.0,2003
vitória,vasco,0.0,2003
criciúma,sãopaulo,2.0,2003
fortaleza,sãocaetano,2.0,2003
juventude,coritiba,0.0,2003
guarani,paraná,0.0,2003
goiás,grêmio,2.0,2003
cruzeiro,pontepreta,0.0,2003
flamengo,fluminense,0.0,2003
paysandu,santos,0.0,2003
bahia,juventude,0.0,2003
grêmio,vitória,0.0,2003
atléticomg,guarani,0.0,2003
figueirense,atléticopr,2.0,2003
pontepreta,criciúma,2.0,2003
sãocaetano,flamengo,2.0,2003
vasco,corinthians,2.0,2003
coritiba,cruzeiro,1.0,2003
fluminense,internacional,0.0,2003
sãopaulo,fortaleza,0.0,2003
paraná,goiás,0.0,2003
bahia,atléticomg,1.0,2003
sãocaetano,grêmio,2.0,2003
flamengo,santos,1.0,2003
sãopaulo,vasco,0.0,2003
internacional,corinthians,0.0,2003
criciúma,guarani,0.0,2003
juventude,vitória,2.0,2003
fortaleza,atléticopr,0.0,2003
pontepreta,paysandu,2.0,2003
cruzeiro,goiás,0.0,2003
fluminense,paraná,2.0,2003
coritiba,figueirense,0.0,2003
atléticomg,coritiba,1.0,2003
paraná,bahia,0.0,2003
vitória,internacional,1.0,2003
guarani,cruzeiro,2.0,2003
corinthians,flamengo,2.0,2003
goiás,juventude,0.0,2003
figueirense,pontepreta,2.0,2003
santos,fortaleza,0.0,2003
grêmio,fluminense,1.0,2003
atléticopr,criciúma,0.0,2003
paysandu,sãopaulo,0.0,2003
vasco,sãocaetano,0.0,2003
flamengo,vitória,0.0,2003
bahia,grêmio,0.0,2003
cruzeiro,atléticopr,0.0,2003
fortaleza,corinthians,1.0,2003
sãopaulo,figueirense,0.0,2003
sãocaetano,paysandu,0.0,2003
internacional,goiás,0.0,2003
pontepreta,atléticomg,0.0,2003
juventude,guarani,2.0,2003
coritiba,paraná,0.0,2003
criciúma,santos,1.0,2003
fluminense,vasco,2.0,2003
goiás,flamengo,2.0,2003
santos,cruzeiro,1.0,2003
paraná,pontepreta,0.0,2003
corinthians,criciúma,0.0,2003
vasco,bahia,2.0,2003
paysandu,fluminense,2.0,2003
atléticomg,sãopaulo,2.0,2003
vitória,fortaleza,0.0,2003
guarani,internacional,0.0,2003
atléticopr,juventude,0.0,2003
figueirense,sãocaetano,0.0,2003
grêmio,coritiba,0.0,2003
fluminense,figueirense,0.0,2003
sãocaetano,atléticomg,0.0,2003
juventude,santos,2.0,2003
bahia,paysandu,0.0,2003
internacional,atléticopr,2.0,2003
coritiba,vasco,2.0,2003
cruzeiro,corinthians,2.0,2003
fortaleza,goiás,0.0,2003
pontepreta,grêmio,0.0,2003
criciúma,vitória,2.0,2003
flamengo,guarani,2.0,2003
sãopaulo,paraná,0.0,2003
atléticomg,fluminense,0.0,2003
paraná,sãocaetano,2.0,2003
corinthians,juventude,0.0,2003
vasco,pontepreta,0.0,2003
atléticopr,flamengo,0.0,2003
paysandu,coritiba,1.0,2003
goiás,criciúma,1.0,2003
grêmio,sãopaulo,1.0,2003
guarani,fortaleza,0.0,2003
figueirense,bahia,0.0,2003
vitória,cruzeiro,0.0,2003
santos,internacional,0.0,2003
fluminense,atléticopr,0.0,2003
cruzeiro,criciúma,0.0,2003
coritiba,guarani,0.0,2003
pontepreta,sãocaetano,2.0,2003
internacional,paysandu,0.0,2003
paraná,flamengo,0.0,2003
bahia,goiás,0.0,2003
fortaleza,juventude,0.0,2003
figueirense,grêmio,0.0,2003
santos,sãopaulo,0.0,2003
corinthians,vitória,0.0,2003
vasco,atléticomg,2.0,2003
vitória,fluminense,0.0,2003
guarani,santos,1.0,2003
grêmio,fortaleza,0.0,2003
atléticomg,figueirense,2.0,2003
paysandu,paraná,0.0,2003
juventude,vasco,2.0,2003
atléticopr,pontepreta,0.0,2003
goiás,coritiba,1.0,2003
sãocaetano,corinthians,0.0,2003
criciúma,internacional,0.0,2003
sãopaulo,bahia,2.0,2003
flamengo,cruzeiro,0.0,2003
fluminense,goiás,1.0,2003
pontepreta,guarani,1.0,2003
coritiba,atléticopr,0.0,2003
corinthians,sãopaulo,1.0,2003
fortaleza,paysandu,1.0,2003
paraná,juventude,1.0,2003
grêmio,internacional,2.0,2003
santos,sãocaetano,1.0,2003
criciúma,figueirense,0.0,2003
bahia,vitória,0.0,2003
vasco,flamengo,1.0,2003
cruzeiro,atléticomg,2.0,2003
bahia,coritiba,2.0,2003
vasco,criciúma,0.0,2003
atléticomg,grêmio,0.0,2003
internacional,paraná,0.0,2003
sãopaulo,goiás,0.0,2003
paysandu,flamengo,2.0,2003
pontepreta,corinthians,2.0,2003
sãocaetano,vitória,0.0,2003
figueirense,fortaleza,2.0,2003
juventude,cruzeiro,1.0,2003
fluminense,guarani,0.0,2003
atléticopr,santos,1.0,2003
fortaleza,vasco,1.0,2003
coritiba,sãocaetano,0.0,2003
grêmio,juventude,1.0,2003
santos,bahia,0.0,2003
flamengo,figueirense,1.0,2003
corinthians,fluminense,0.0,2003
guarani,sãopaulo,1.0,2003
criciúma,paysandu,0.0,2003
vitória,atléticopr,0.0,2003
cruzeiro,internacional,0.0,2003
paraná,atléticomg,2.0,2003
goiás,pontepreta,2.0,2003
vasco,paraná,1.0,2003
sãopaulo,sãocaetano,2.0,2003
figueirense,cruzeiro,0.0,2003
atléticomg,paysandu,0.0,2003
grêmio,flamengo,0.0,2003
guarani,goiás,0.0,2003
atléticopr,corinthians,0.0,2003
juventude,internacional,2.0,2003
