home,away,result,year,home previous,away previous
guarani,vasco,0.0,2003,0.0,0.0
atléticopr,grêmio,0.0,2003,0.0,0.0
flamengo,coritiba,2.0,2003,0.0,0.0
goiás,paysandu,2.0,2003,0.0,0.0
internacional,pontepreta,2.0,2003,0.0,0.0
criciúma,fluminense,0.0,2003,0.0,0.0
juventude,sãopaulo,2.0,2003,0.0,0.0
fortaleza,bahia,2.0,2003,0.0,0.0
cruzeiro,sãocaetano,2.0,2003,0.0,0.0
vitória,figueirense,2.0,2003,0.0,0.0
santos,paraná,2.0,2003,0.0,0.0
corinthians,atléticomg,1.0,2003,0.0,0.0
fluminense,fortaleza,2.0,2003,0.0,0.0
atléticomg,santos,2.0,2003,0.0,0.0
coritiba,internacional,1.0,2003,0.0,0.0
grêmio,guarani,0.0,2003,0.0,0.0
figueirense,corinthians,2.0,2003,0.0,0.0
paysandu,vitória,1.0,2003,0.0,0.0
pontepreta,juventude,0.0,2003,0.0,0.0
paraná,atléticopr,0.0,2003,0.0,0.0
sãocaetano,criciúma,0.0,2003,0.0,0.0
sãopaulo,cruzeiro,1.0,2003,0.0,0.0
vasco,goiás,0.0,2003,0.0,0.0
internacional,bahia,0.0,2003,0.0,0.0
santos,figueirense,0.0,2003,0.0,0.0
atléticopr,atléticomg,1.0,2003,0.0,0.0
corinthians,paysandu,0.0,2003,0.0,0.0
vitória,vasco,0.0,2003,0.0,0.0
criciúma,sãopaulo,2.0,2003,0.0,0.0
fortaleza,sãocaetano,2.0,2003,0.0,0.0
juventude,coritiba,0.0,2003,0.0,0.0
guarani,paraná,0.0,2003,0.0,0.0
goiás,grêmio,2.0,2003,0.0,0.0
cruzeiro,pontepreta,0.0,2003,0.0,0.0
flamengo,fluminense,0.0,2003,0.0,0.0
paysandu,santos,0.0,2003,0.0,0.0
bahia,juventude,0.0,2003,0.0,0.0
grêmio,vitória,0.0,2003,0.0,0.0
atléticomg,guarani,0.0,2003,0.0,0.0
figueirense,atléticopr,2.0,2003,0.0,0.0
pontepreta,criciúma,2.0,2003,0.0,0.0
sãocaetano,flamengo,2.0,2003,0.0,0.0
vasco,corinthians,2.0,2003,0.0,0.0
coritiba,cruzeiro,1.0,2003,0.0,0.0
fluminense,internacional,0.0,2003,0.0,0.0
sãopaulo,fortaleza,0.0,2003,0.0,0.0
paraná,goiás,0.0,2003,0.0,0.0
bahia,atléticomg,1.0,2003,0.0,0.0
sãocaetano,grêmio,2.0,2003,0.0,0.0
flamengo,santos,1.0,2003,0.0,0.0
sãopaulo,vasco,0.0,2003,1.0,1.0
internacional,corinthians,0.0,2003,2.0,1.0
criciúma,guarani,0.0,2003,1.0,1.0
juventude,vitória,2.0,2003,1.0,2.0
fortaleza,atléticopr,0.0,2003,0.0,0.0
pontepreta,paysandu,2.0,2003,1.0,1.0
cruzeiro,goiás,0.0,2003,3.0,0.0
fluminense,paraná,2.0,2003,1.0,2.0
coritiba,figueirense,0.0,2003,0.0,0.0
atléticomg,coritiba,1.0,2003,4.0,1.0
paraná,bahia,0.0,2003,2.0,1.0
vitória,internacional,1.0,2003,2.0,3.0
guarani,cruzeiro,2.0,2003,1.0,4.0
corinthians,flamengo,2.0,2003,1.0,1.0
goiás,juventude,0.0,2003,0.0,1.0
figueirense,pontepreta,2.0,2003,0.0,1.0
santos,fortaleza,0.0,2003,2.0,1.0
grêmio,fluminense,1.0,2003,1.0,1.0
atléticopr,criciúma,0.0,2003,0.0,1.0
paysandu,sãopaulo,0.0,2003,1.0,2.0
vasco,sãocaetano,0.0,2003,1.0,1.0
flamengo,vitória,0.0,2003,1.0,1.0
bahia,grêmio,0.0,2003,1.0,1.0
cruzeiro,atléticopr,0.0,2003,3.0,1.0
fortaleza,corinthians,1.0,2003,1.0,1.0
sãopaulo,figueirense,0.0,2003,2.0,0.0
sãocaetano,paysandu,0.0,2003,0.0,2.0
internacional,goiás,0.0,2003,2.0,1.0
pontepreta,atléticomg,0.0,2003,0.0,2.0
juventude,guarani,2.0,2003,1.0,1.0
coritiba,paraná,0.0,2003,2.0,2.0
criciúma,santos,1.0,2003,1.0,2.0
fluminense,vasco,2.0,2003,2.0,1.0
goiás,flamengo,2.0,2003,1.0,2.0
santos,cruzeiro,1.0,2003,3.0,3.0
paraná,pontepreta,0.0,2003,2.0,1.0
corinthians,criciúma,0.0,2003,1.0,1.0
vasco,bahia,2.0,2003,1.0,1.0
paysandu,fluminense,2.0,2003,1.0,2.0
atléticomg,sãopaulo,2.0,2003,1.0,3.0
vitória,fortaleza,0.0,2003,0.0,1.0
guarani,internacional,0.0,2003,0.0,3.0
atléticopr,juventude,0.0,2003,1.0,0.0
figueirense,sãocaetano,0.0,2003,0.0,1.0
grêmio,coritiba,0.0,2003,0.0,3.0
fluminense,figueirense,0.0,2003,1.0,1.0
sãocaetano,atléticomg,0.0,2003,1.0,1.0
juventude,santos,2.0,2003,0.0,3.0
bahia,paysandu,0.0,2003,1.0,1.0
internacional,atléticopr,2.0,2003,3.0,2.0
coritiba,vasco,2.0,2003,3.0,1.0
cruzeiro,corinthians,2.0,2003,3.0,2.0
fortaleza,goiás,0.0,2003,1.0,1.0
pontepreta,grêmio,0.0,2003,1.0,1.0
criciúma,vitória,2.0,2003,0.0,1.0
flamengo,guarani,2.0,2003,1.0,1.0
sãopaulo,paraná,0.0,2003,1.0,2.0
atléticomg,fluminense,0.0,2003,0.0,2.0
paraná,sãocaetano,2.0,2003,2.0,2.0
corinthians,juventude,0.0,2003,2.0,0.0
vasco,pontepreta,0.0,2003,1.0,2.0
atléticopr,flamengo,0.0,2003,2.0,1.0
paysandu,coritiba,1.0,2003,1.0,1.0
goiás,criciúma,1.0,2003,1.0,0.0
grêmio,sãopaulo,1.0,2003,1.0,2.0
guarani,fortaleza,0.0,2003,1.0,1.0
figueirense,bahia,0.0,2003,1.0,2.0
vitória,cruzeiro,0.0,2003,1.0,2.0
santos,internacional,0.0,2003,1.0,1.0
